City,Location,Cuisine,Ratings,No. of Reviews
0,6,6,3.6,1005
0,5,33,4.2,1003
0,5,5,4.2,1003
0,5,15,4.2,1003
0,5,20,4.2,1003
0,5,38,4.2,1003
0,0,29,3.9,12000
0,0,39,3.9,12000
0,0,10,3.9,12000
0,0,15,3.9,12000
0,0,5,3.9,12000
0,9,33,4.4,5633
0,9,15,4.4,5633
0,9,13,4.4,5633
0,9,5,4.4,5633
0,9,26,4.3,11000
0,9,15,4.3,11000
0,9,40,4.3,11000
0,11,15,4.5,619
0,11,36,4.5,619
0,11,5,4.5,619
0,11,38,4.5,619
0,5,29,3.8,4062
0,5,6,3.8,4062
0,5,28,3.8,4062
0,5,3,3.8,4062
0,7,29,3.9,14000
0,7,10,3.9,14000
0,7,15,3.9,14000
0,7,28,3.9,14000
0,1,8,4.3,705
0,1,33,4.3,705
0,1,15,4.3,705
0,1,5,4.3,705
0,1,13,4.3,705
0,0,29,4.2,2123
0,0,10,4.2,2123
0,9,33,3.8,1738
0,9,15,3.8,1738
0,9,13,3.8,1738
0,0,29,3.9,21000
0,0,28,3.9,21000
0,0,10,3.9,21000
0,0,23,3.9,21000
0,0,6,3.9,21000
0,9,13,4.3,18000
0,9,19,4.3,18000
0,4,29,4.1,2458
0,4,10,4.1,2458
0,4,15,4.1,2458
0,4,5,4.1,2458
0,4,13,4.1,2458
0,9,40,4.3,557
0,9,29,4,15000
0,9,28,4,15000
0,9,10,4,15000
0,9,5,4,15000
0,9,13,4,15000
0,0,29,3.8,25000
0,0,10,3.8,25000
0,0,3,3.8,25000
0,7,4,4,7755
0,7,13,4,7755
0,7,15,4,7755
0,1,29,4.2,2806
0,1,10,4.2,2806
0,1,15,4.2,2806
0,1,5,4.2,2806
0,5,29,4.2,10000
0,9,15,4,2623
0,9,10,4,2623
0,9,29,4,2623
0,9,28,4,2623
0,9,3,4,2623
0,9,5,4,2623
0,9,33,4,2623
0,9,32,4,2623
0,5,4,4.3,1182
0,5,13,4.3,1182
0,5,15,4.3,1182
0,9,33,3.9,947
0,9,15,3.9,947
0,9,20,3.9,947
0,5,8,4.1,3578
0,5,33,4.1,3578
0,5,36,4.1,3578
0,5,7,4.1,3578
0,5,15,4.1,3578
0,5,13,4.1,3578
0,5,5,4.1,3578
0,9,29,4.3,2297
0,9,39,4.3,2297
0,9,10,4.3,2297
0,9,15,4.3,2297
0,9,5,4.3,2297
0,9,19,4.3,2297
0,7,33,4,9584
0,7,7,4,9584
0,7,15,4,9584
0,7,5,4,9584
0,3,29,4,8865
0,3,15,4,8865
0,3,39,4,8865
